Data,Valore patrimoniale netto (USD)
15 agosto 2025,"$ 155,7772 USD"
14 agosto 2025,$ 155.7098 USD
13 agosto 2025,"$ 155,8775 USD"
12 agosto 2025,$ 154.8792 USD
11 agosto 2025,$ 153.4495 USD
8 agosto 2025,$ 153.8013 USD
7 agosto 2025,"$ 152,9829 USD"
6 agosto 2025,$ 152.5867 USD
5 agosto 2025,$ 151.6090 USD
4 agosto 2025,"$ 151,7877 USD"
1 agosto 2025,$ 150.0116 USD
31 luglio 2025,"$ 151,9471 USD"
30 luglio 2025,$ 152.6892 USD
29 luglio 2025,"$ 152,9373 USD"
28 luglio 2025,$ 153.5213 USD
25 luglio 2025,$ 153.8370 USD
24 luglio 2025,"153,8926 USD"
23 luglio 2025,$ 153.5383 USD
22 luglio 2025,"$ 151,9614 USD"
21 luglio 2025,"$ 151,9332 USD"
18 luglio 2025,$ 151.6321 USD
17 luglio 2025,$ 151.3489 USD
16 luglio 2025,$ 150.4995 USD
15 luglio 2025,$ 150.3794 USD
14 luglio 2025,"$ 150,8951 USD"
11 luglio 2025,"$ 150,7526 USD"
10 luglio 2025,"$ 151,3362 USD"
9 luglio 2025,$ 151.0141 USD
8 luglio 2025,150.2006 dollari USA
7 luglio 2025,$ 150.2906 USD
4 luglio 2025,$ 151.2497 USD
3 luglio 2025,"$ 151,3632 USD"
2 luglio 2025,$ 150.3714 USD
1 luglio 2025,"149,8944 USD"
30 giugno 2025,"$ 149,9342 USD"
27 giugno 2025,$ 149.4264 USD
26 giugno 2025,"$ 148,5853 USD"
25 giugno 2025,$ 147.3480 USD
24 giugno 2025,$ 147.4849 USD
23 giugno 2025,$ 145.3402 USD
20 giugno 2025,"$ 144,6635 USD"
19 giugno 2025,"$ 144,6662 USD"
18 giugno 2025,$ 146.1848 USD
17 giugno 2025,$ 146.3018 USD
16 giugno 2025,$ 147.4754 USD
13 giugno 2025,$ 146.1786 USD
12 giugno 2025,$ 147.7830 USD
11 giugno 2025,$ 147.3598 USD
10 giugno 2025,$ 147.4137 USD
9 giugno 2025,"$ 146,7813 USD"
6 giugno 2025,$ 146.4707 USD
5 giugno 2025,"$ 145,6585 USD"
4 giugno 2025,"145,9758 USA"
3 giugno 2025,"$ 145,4497 USA"
2 giugno 2025,"$ 144,9795 USA"
30 maggio 2025,"$ 144,4219 USA"
29 maggio 2025,"$ 144,5382 USA"
28 maggio 2025,"$ 143,8685 USA"
27 maggio 2025,"$ 144,6248 USA"
26 maggio 2025,"$ 142,9079 USA"
23 maggio 2025,"$ 142,5363 USA"
22 maggio 2025,"$ 142,9568 USA"
21 maggio 2025,"$ 143,4627 USA"
20 maggio 2025,"$ 144,6234 USA"
19 maggio 2025,"$ 144,7426 USA"
16 maggio 2025,"$ 144,3826 USA"
15 maggio 2025,"$ 143,6905 USA"
14 maggio 2025,"$ 143,2794 USA"
13 maggio 2025,"$ 142,7960 USA"
12 maggio 2025,"141,9002 dollari USA"
9 maggio 2025,"$ 138,9265 USA"
8 maggio 2025,"$ 138,6810 USA"
07 maggio 2025,138.4120 $ USA
06 maggio 2025,138.0626 $US
05 maggio 2025,138.7424 $ USA
02 maggio 2025,139.2000 $ USA
01 maggio 2025,136.8913 $US
30 aprile 2025,136.6378 $US
29 aprile 2025,136.2564 $US
28 aprile 2025,135.5885 $US
25 aprile 2025,135.1410 $ USA
24 aprile 2025,134.3603 $ USA
23 aprile 2025,132.4975 $US
22 aprile 2025,130.5656 $US
21 aprile 2025,128.4361 $US
17 aprile 2025,129.9409 $US
16 aprile 2025,129.6269 $US
15 aprile 2025,131.5542 $ USA
14 aprile 2025,131.1047 $ USA
11 aprile 2025,129.4613 $US
10 aprile 2025,127.6418 $US
09 aprile 2025,128.3406 $ USA
08 aprile 2025,121.7325 $US
07 aprile 2025,121.9741 $US
04 aprile 2025,125.2370 $ USA
03 aprile 2025,132.2399 $US
02 aprile 2025,136.7022 $US
01 aprile 2025,136.0847 $ USA
31 marzo 2025,135.2727 $ USA
28 marzo 2025,135.7769 $US
27 marzo 2025,137.8427 $ USA
26 marzo 2025,138.2425 $ USA
25 marzo 2025,139.4162 $ USA
24 marzo 2025,139.1187 $ USA
21 marzo 2025,137.6169 $US
20 marzo 2025,137.8752 $US
19 marzo 2025,138.6298 $US
18 marzo 2025,137.7301 $US
17 marzo 2025,138.3085 $US
14 marzo 2025,$ 137.0910 USD
13 marzo 2025,"$ 134,7439 USD"
12 marzo 2025,"$ 136,1757 USD"
11 marzo 2025,$ 135.5049 USD
10 marzo 2025,$ 136.4941 USD
7 marzo 2025,"$ 139,5225 USD"
6 marzo 2025,"$ 139,2671 USD"
5 marzo 2025,$ 140.4681 USD
4 marzo 2025,$ 138.4020 USD
3 marzo 2025,"$ 139,9796 USD"
28 febbraio 2025,"$ 141,0057 USD"
27 febbraio 2025,$ 140.1754 USD
26 febbraio 2025,"$ 142,0311 USD"
25 febbraio 2025,$ 141.6396 USD
24 febbraio 2025,"$ 142,2621 USD"
21 febbraio 2025,"$ 142,8909 USD"
20 febbraio 2025,$ 144.3007 USD
19 febbraio 2025,144.7394 USD
18 febbraio 2025,"$ 144,8872 USD"
17 febbraio 2025,$ 144.5020 USD
14 febbraio 2025,"$ 144,3145 USD"
13 febbraio 2025,"$ 143,9919 USD"
12 febbraio 2025,$ 142.4154 USD
11 febbraio 2025,"$ 142,5665 USD"
10 febbraio 2025,$ 142.5940 USD
7 febbraio 2025,"$ 141,9084 USD"
6 febbraio 2025,$ 142.8450 USD
5 febbraio 2025,"$ 142,2464 USD"
4 febbraio 2025,"$ 141,4625 USD"
3 febbraio 2025,$ 140.2387 USD
31 gennaio 2025,$ 141.8308 USD
30 gennaio 2025,"$ 142,3857 USD"
29 gennaio 2025,$ 141.5318 USD
28 gennaio 2025,$ 141.7060 USD
27 gennaio 2025,"140,9842 USD"
24 gennaio 2025,"$ 142,3932 USD"
23 gennaio 2025,"$ 142,2334 USD"
22 gennaio 2025,"$ 141,6592 USD"
21 gennaio 2025,"$ 140,9579 USD"
20 gennaio 2025,$ 140.0165 USD
17 gennaio 2025,$ 139.5003 USA
16 gennaio 2025,"$ 138,4425 USD"
15 gennaio 2025,138.2007 dollari USA
14 gennaio 2025,$ 136.1150 USD
13 gennaio 2025,$ 135.6769 USD
10 gennaio 2025,$ 136.0362 USD
9 gennaio 2025,"$ 137,9086 USD"
8 gennaio 2025,"$ 137,9839 USD"
7 gennaio 2025,$ 138.1922 USD
6 gennaio 2025,$ 139.0990 USD
3 gennaio 2025,$ 138.1972 USA
2 gennaio 2025,"137,0585 USD"
31 dicembre 2024,$ 137.2658 USD
30 dicembre 2024,"$ 137,6541 USD"
27 dicembre 2024,"$ 138,9044 USD"
26 dicembre 2024,$ 139.6286 USD
24 dicembre 2024,"$ 139,5857 USD"
23 dicembre 2024,$ 138.4806 USD
20 dicembre 2024,$ 137.6320 USD
19 dicembre 2024,"$ 136,8731 USD"
18 dicembre 2024,"$ 137,9107 USD"
17 dicembre 2024,$ 140.8271 USD
16 dicembre 2024,$ 141.4402 USD
13 dicembre 2024,$ 141.1792 USD
12 dicembre 2024,$ 141.5423 USD
11 dicembre 2024,"$ 142,4475 USD"
10 dicembre 2024,$ 141.6700 USD
9 dicembre 2024,"$ 142,3922 USD"
6 dicembre 2024,$ 142.8224 USD
5 dicembre 2024,"$ 142,5554 USD"
4 dicembre 2024,$ 142.5417 USD
3 dicembre 2024,"$ 141,9048 USD"
02 dicembre 2024,"141,3354 dollari USA"
29 novembre 2024,"140,9634 dollari USA"
28 novembre 2024,"140,2597 dollari USA"
27 novembre 2024,"140,2511 dollari USA"
26 novembre 2024,"140,3484 dollari USA"
25 novembre 2024,"140,1164 dollari USA"
22 novembre 2024,"139,5270 dollari USA"
21 novembre 2024,"139,0872 dollari USA"
20 novembre 2024,"138,5241 dollari USA"
19 novembre 2024,"138,7845 dollari USA"
18 novembre 2024,138.1985 $ USA
15 novembre 2024,"137,7135 dollari USA"
14 novembre 2024,"139,0627 dollari USA"
13 novembre 2024,"139,6322 dollari USA"
