Settore,Fondo,Benchmark,Ponderazione +/-
Tecnologia,"30,37%","30,38%","-0,01%"
Finanziari,"15,94%","15,93%","0,01%"
Beni voluttuari ,"13,47%","13,47%","0,00%"
Industriali,"13,10%","13,07%","0,03%"
Assistenza sanitaria,"8,24%","8,25%","-0,01%"
Servizi di consumo di base,"4,60%","4,60%","0,00%"
Energia,"3,77%","3,77%","0,00%"
Utenze,"2,88%","2,87%","0,01%"
Telecomunicazioni,"2,78%","2,78%","0,00%"
Materiali di base ,"2,73%","2,73%","0,00%"
Immobiliare,"2,11%","2,12%","-0,01%"
Altro,"0,00%","0,04%","-0,04%"
Totale,"100,00%","100,00%",
